,xml_index,text_top,text_left,text_width,text_height,text,font_size,font_family,font_color,attrib,font_family_updated,font_size_updated,children,word_coords,xml_index,text_top,text_left,text_width,text_height,text,font_size,font_family,font_color,attrib,font_family_updated,font_size_updated,children,word_coords
0,0,41,408,77,18, निर्वाचन आयोग,13,Nirmala UI,#000000,,Nirmala UI,12,"{""index"":{""0"":0,""1"":1},""xml_index"":{""0"":0,""1"":1},""text_top"":{""0"":41,""1"":41},""text_left"":{""0"":408,""1"":451},""text_width"":{""0"":40,""1"":34},""text_height"":{""0"":18,""1"":18},""text"":{""0"":""\u093f\u0928\u0935\u093e\u091a\u0928"",""1"":""\u0906\u092f\u094b\u0917""},""font_size"":{""0"":13,""1"":13},""font_family"":{""0"":""Nirmala UI"",""1"":""Nirmala UI""},""font_color"":{""0"":""#000000"",""1"":""#000000""},""attrib"":{""0"":"""",""1"":""""},""font_family_updated"":{""0"":""Nirmala UI"",""1"":""Nirmala UI""},""font_size_updated"":{""0"":12,""1"":12}}","[{'text': 'निर्वाचन', 'conf': 95, 'text_left': 1137, 'text_top': 127, 'text_width': 112, 'text_height': 40}, {'text': 'आयोग', 'conf': 96, 'text_left': 1259, 'text_top': 128, 'text_width': 93, 'text_height': 39}]",75,519,48,164,15, [. कासोटिया/एमके/एसके - 540,13,Arial,#000000,,Arial,12,"{""index"":{""0"":0,""1"":1,""2"":2,""3"":3},""xml_index"":{""0"":75,""1"":77,""2"":79,""3"":81},""text_top"":{""0"":519,""1"":519,""2"":519,""3"":519},""text_left"":{""0"":48,""1"":106,""2"":137,""3"":170},""text_width"":{""0"":7,""1"":4,""2"":4,""3"":42},""text_height"":{""0"":15,""1"":15,""2"":15,""3"":15},""text"":{""0"":"".\u00a0"",""1"":""\/"",""2"":""\/"",""3"":""\u00a0\u2013\u00a0540\u00a0""},""font_size"":{""0"":13,""1"":13,""2"":13,""3"":13},""font_family"":{""0"":""Arial"",""1"":""Arial"",""2"":""Arial"",""3"":""Arial""},""font_color"":{""0"":""#000000"",""1"":""#000000"",""2"":""#000000"",""3"":""#000000""},""attrib"":{""0"":"""",""1"":"""",""2"":"""",""3"":""""},""font_family_updated"":{""0"":""Arial"",""1"":""Arial"",""2"":""Arial"",""3"":""Arial""},""font_size_updated"":{""0"":12,""1"":12,""2"":12,""3"":12}}","[{'text': '[.', 'conf': 25, 'text_left': 133, 'text_top': 1459, 'text_width': 13, 'text_height': 30}, {'text': 'कासोटिया/एमके/एसके', 'conf': 84, 'text_left': 157, 'text_top': 1450, 'text_width': 321, 'text_height': 44}, {'text': '-', 'conf': 90, 'text_left': 486, 'text_top': 1478, 'text_width': 21, 'text_height': 3}, {'text': '540', 'conf': 94, 'text_left': 519, 'text_top': 1462, 'text_width': 61, 'text_height': 27}]"
1,2,78,91,701,43, उत्तर प्रदेश विधानसभा चुनाव-207 तथ्यों पर एक नजर,33,Nirmala UI,#000000,,Nirmala UI,31,"{""index"":{""0"":0,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8},""xml_index"":{""0"":2,""1"":3,""2"":4,""3"":5,""4"":6,""5"":7,""6"":8,""7"":9,""8"":10},""text_top"":{""0"":78,""1"":78,""2"":78,""3"":78,""4"":83,""5"":78,""6"":78,""7"":78,""8"":78},""text_left"":{""0"":91,""1"":184,""2"":241,""3"":387,""4"":459,""5"":554,""6"":626,""7"":672,""8"":730},""text_width"":{""0"":64,""1"":47,""2"":137,""3"":72,""4"":96,""5"":64,""6"":37,""7"":48,""8"":62},""text_height"":{""0"":44,""1"":44,""2"":44,""3"":44,""4"":38,""5"":44,""6"":44,""7"":44,""8"":44},""text"":{""0"":""\u0909 \u0930"",""1"":""\u0926\u0947\u0936"",""2"":""\u093f\u0935\u0927\u093e\u0928\u0938\u092d\u093e"",""3"":""\u091a\u0941\u0928\u093e\u0935"",""4"":""\u00ad2017\u00a0"",""5"":""\u0924 \u094b\u0902"",""6"":""\u092a\u0930"",""7"":""\u090f\u0915"",""8"":""\u0928\u091c\u0930""},""font_size"":{""0"":33,""1"":33,""2"":33,""3"":33,""4"":33,""5"":33,""6"":33,""7"":33,""8"":33},""font_family"":{""0"":""Nirmala UI"",""1"":""Nirmala UI"",""2"":""Nirmala UI"",""3"":""Nirmala UI"",""4"":""Arial"",""5"":""Nirmala UI"",""6"":""Nirmala UI"",""7"":""Nirmala UI"",""8"":""Nirmala UI""},""font_color"":{""0"":""#000000"",""1"":""#000000"",""2"":""#000000"",""3"":""#000000"",""4"":""#000000"",""5"":""#000000"",""6"":""#000000"",""7"":""#000000"",""8"":""#000000""},""attrib"":{""0"":"""",""1"":"""",""2"":"""",""3"":""SUPERSCRIPT"",""4"":"""",""5"":""SUPERSCRIPT"",""6"":"""",""7"":"""",""8"":""""},""font_family_updated"":{""0"":""Nirmala UI"",""1"":""Nirmala UI"",""2"":""Nirmala UI"",""3"":""Nirmala UI"",""4"":""Arial"",""5"":""Nirmala UI"",""6"":""Nirmala UI"",""7"":""Nirmala UI"",""8"":""Nirmala UI""},""font_size_updated"":{""0"":31,""1"":31,""2"":31,""3"":31,""4"":31,""5"":31,""6"":31,""7"":31,""8"":31}}","[{'text': 'उत्तर', 'conf': 94, 'text_left': 254, 'text_top': 261, 'text_width': 180, 'text_height': 69}, {'text': 'प्रदेश', 'conf': 95, 'text_left': 457, 'text_top': 232, 'text_width': 192, 'text_height': 104}, {'text': 'विधानसभा', 'conf': 93, 'text_left': 671, 'text_top': 234, 'text_width': 383, 'text_height': 96}, {'text': 'चुनाव-207', 'conf': 0, 'text_left': 1077, 'text_top': 261, 'text_width': 437, 'text_height': 99}, {'text': 'तथ्यों', 'conf': 95, 'text_left': 1542, 'text_top': 232, 'text_width': 178, 'text_height': 98}, {'text': 'पर', 'conf': 96, 'text_left': 1742, 'text_top': 261, 'text_width': 106, 'text_height': 69}, {'text': 'एक', 'conf': 96, 'text_left': 1870, 'text_top': 260, 'text_width': 139, 'text_height': 82}, {'text': 'नजर', 'conf': 95, 'text_left': 2031, 'text_top': 260, 'text_width': 176, 'text_height': 70}]",82,588,37,256,15, (Release ID: 483329) Visitor Counter : 3,13,Arial,#000000,,Arial,12,,"[{'text': '(Release', 'conf': 96, 'text_left': 109, 'text_top': 1653, 'text_width': 151, 'text_height': 35}, {'text': 'ID:', 'conf': 89, 'text_left': 275, 'text_top': 1653, 'text_width': 42, 'text_height': 27}, {'text': '483329)', 'conf': 0, 'text_left': 351, 'text_top': 1653, 'text_width': 142, 'text_height': 35}, {'text': 'Visitor', 'conf': 96, 'text_left': 504, 'text_top': 1653, 'text_width': 106, 'text_height': 27}, {'text': 'Counter', 'conf': 92, 'text_left': 621, 'text_top': 1653, 'text_width': 120, 'text_height': 28}, {'text': ':', 'conf': 92, 'text_left': 769, 'text_top': 1660, 'text_width': 4, 'text_height': 20}, {'text': '3', 'conf': 96, 'text_left': 786, 'text_top': 1653, 'text_width': 17, 'text_height': 27}]"
2,11,115,164,565,43, छठा चरण-मतदाने की तारीख 04.03.207,33,Arial,#000000,,Arial,31,"{""index"":{""0"":0,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6},""xml_index"":{""0"":11,""1"":12,""2"":13,""3"":14,""4"":15,""5"":16,""6"":17},""text_top"":{""0"":115,""1"":115,""2"":120,""3"":115,""4"":115,""5"":115,""6"":120},""text_left"":{""0"":164,""1"":232,""2"":296,""3"":307,""4"":410,""5"":458,""6"":541},""text_width"":{""0"":58,""1"":64,""2"":11,""3"":94,""4"":38,""5"":83,""6"":188},""text_height"":{""0"":44,""1"":44,""2"":38,""3"":44,""4"":44,""5"":44,""6"":38},""text"":{""0"":""\u091b\u0920\u093e"",""1"":""\u091a\u0930\u0923"",""2"":""\u00ad"",""3"":""\u092e\u0924\u0926\u093e\u0928"",""4"":""\u0915\u0940"",""5"":""\u0924\u093e\u0930\u0940\u0916"",""6"":""\u00a004.03.2017\u00a0""},""font_size"":{""0"":33,""1"":33,""2"":33,""3"":33,""4"":33,""5"":33,""6"":33},""font_family"":{""0"":""Nirmala UI"",""1"":""Nirmala UI"",""2"":""Arial"",""3"":""Nirmala UI"",""4"":""Nirmala UI"",""5"":""Nirmala UI"",""6"":""Arial""},""font_color"":{""0"":""#000000"",""1"":""#000000"",""2"":""#000000"",""3"":""#000000"",""4"":""#000000"",""5"":""#000000"",""6"":""#000000""},""attrib"":{""0"":"""",""1"":""SUPERSCRIPT"",""2"":"""",""3"":""SUPERSCRIPT"",""4"":"""",""5"":""SUPERSCRIPT"",""6"":""""},""font_family_updated"":{""0"":""Nirmala UI"",""1"":""Nirmala UI"",""2"":""Arial"",""3"":""Nirmala UI"",""4"":""Nirmala UI"",""5"":""Nirmala UI"",""6"":""Arial""},""font_size_updated"":{""0"":31,""1"":31,""2"":31,""3"":31,""4"":31,""5"":31,""6"":31}}","[{'text': 'छठा', 'conf': 89, 'text_left': 457, 'text_top': 319, 'text_width': 166, 'text_height': 114}, {'text': 'चरण-मतदाने', 'conf': 87, 'text_left': 631, 'text_top': 319, 'text_width': 619, 'text_height': 120}, {'text': 'की', 'conf': 96, 'text_left': 1130, 'text_top': 319, 'text_width': 126, 'text_height': 144}, {'text': 'तारीख', 'conf': 92, 'text_left': 1262, 'text_top': 319, 'text_width': 246, 'text_height': 114}, {'text': '04.03.207', 'conf': 0, 'text_left': 1536, 'text_top': 319, 'text_width': 461, 'text_height': 114}]",,,,,,,,,,,,,,
3,18,190,129,635,43, मतदान का समय :- प्रातः7 बजे से शाम 5 बजे तक,33,Nirmala UI,#000000,,Nirmala UI,31,"{""index"":{""0"":0,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9,""10"":10,""11"":11},""xml_index"":{""0"":18,""1"":19,""2"":20,""3"":21,""4"":22,""5"":23,""6"":24,""7"":25,""8"":26,""9"":27,""10"":28,""11"":29},""text_top"":{""0"":190,""1"":190,""2"":190,""3"":195,""4"":190,""5"":195,""6"":190,""7"":190,""8"":190,""9"":195,""10"":190,""11"":190},""text_left"":{""0"":129,""1"":232,""2"":279,""3"":347,""4"":407,""5"":445,""6"":473,""7"":529,""8"":563,""9"":621,""10"":658,""11"":714},""text_width"":{""0"":94,""1"":38,""2"":68,""3"":39,""4"":38,""5"":28,""6"":46,""7"":24,""8"":58,""9"":38,""10"":46,""11"":50},""text_height"":{""0"":44,""1"":44,""2"":44,""3"":38,""4"":44,""5"":38,""6"":44,""7"":44,""8"":44,""9"":38,""10"":44,""11"":44},""text"":{""0"":""\u092e\u0924\u0926\u093e\u0928"",""1"":""\u0915\u093e"",""2"":""\u0938\u092e\u092f"",""3"":""\u00a0:\u00ad\u00a0"",""4"":""\u093e\u0924\u0903"",""5"":""7\u00a0"",""6"":""\u092c\u091c\u0947"",""7"":""\u0938\u0947"",""8"":""\u0936\u093e\u092e"",""9"":""\u00a05\u00a0"",""10"":""\u092c\u091c\u0947"",""11"":""\u0924\u0915""},""font_size"":{""0"":33,""1"":33,""2"":33,""3"":33,""4"":33,""5"":33,""6"":33,""7"":33,""8"":33,""9"":33,""10"":33,""11"":33},""font_family"":{""0"":""Nirmala UI"",""1"":""Nirmala UI"",""2"":""Nirmala UI"",""3"":""Arial"",""4"":""Nirmala UI"",""5"":""Arial"",""6"":""Nirmala UI"",""7"":""Nirmala UI"",""8"":""Nirmala UI"",""9"":""Arial"",""10"":""Nirmala UI"",""11"":""Nirmala UI""},""font_color"":{""0"":""#000000"",""1"":""#000000"",""2"":""#000000"",""3"":""#000000"",""4"":""#000000"",""5"":""#000000"",""6"":""#000000"",""7"":""#000000"",""8"":""#000000"",""9"":""#000000"",""10"":""#000000"",""11"":""#000000""},""attrib"":{""0"":"""",""1"":"""",""2"":""SUPERSCRIPT"",""3"":"""",""4"":""SUPERSCRIPT"",""5"":"""",""6"":""SUPERSCRIPT"",""7"":"""",""8"":""SUPERSCRIPT"",""9"":"""",""10"":""SUPERSCRIPT"",""11"":""""},""font_family_updated"":{""0"":""Nirmala UI"",""1"":""Nirmala UI"",""2"":""Nirmala UI"",""3"":""Arial"",""4"":""Nirmala UI"",""5"":""Arial"",""6"":""Nirmala UI"",""7"":""Nirmala UI"",""8"":""Nirmala UI"",""9"":""Arial"",""10"":""Nirmala UI"",""11"":""Nirmala UI""},""font_size_updated"":{""0"":31,""1"":31,""2"":31,""3"":31,""4"":31,""5"":31,""6"":31,""7"":31,""8"":31,""9"":31,""10"":31,""11"":31}}","[{'text': 'मतदान', 'conf': 95, 'text_left': 359, 'text_top': 570, 'text_width': 265, 'text_height': 76}, {'text': 'का', 'conf': 96, 'text_left': 646, 'text_top': 571, 'text_width': 109, 'text_height': 68}, {'text': 'समय', 'conf': 93, 'text_left': 777, 'text_top': 571, 'text_width': 193, 'text_height': 69}, {'text': ':-', 'conf': 87, 'text_left': 1002, 'text_top': 590, 'text_width': 46, 'text_height': 49}, {'text': 'प्रातः7', 'conf': 79, 'text_left': 1076, 'text_top': 571, 'text_width': 212, 'text_height': 69}, {'text': 'बजे', 'conf': 94, 'text_left': 1316, 'text_top': 542, 'text_width': 133, 'text_height': 97}, {'text': 'से', 'conf': 96, 'text_left': 1471, 'text_top': 542, 'text_width': 71, 'text_height': 98}, {'text': 'शाम', 'conf': 95, 'text_left': 1565, 'text_top': 570, 'text_width': 164, 'text_height': 70}, {'text': '5', 'conf': 95, 'text_left': 1758, 'text_top': 573, 'text_width': 44, 'text_height': 67}, {'text': 'बजे', 'conf': 96, 'text_left': 1830, 'text_top': 542, 'text_width': 132, 'text_height': 97}, {'text': 'तक', 'conf': 96, 'text_left': 1984, 'text_top': 571, 'text_width': 143, 'text_height': 69}]",,,,,,,,,,,,,,
4,30,267,303,287,15, ९०560 07: 28 नट8 2047 4:38/0. 0४ ?8 06,13,Arial,#000000,,Arial,12,,"[{'text': '९०560', 'conf': 48, 'text_left': 848, 'text_top': 762, 'text_width': 112, 'text_height': 27}, {'text': '07:', 'conf': 64, 'text_left': 975, 'text_top': 762, 'text_width': 55, 'text_height': 27}, {'text': '28', 'conf': 92, 'text_left': 1043, 'text_top': 762, 'text_width': 40, 'text_height': 28}, {'text': 'नट8', 'conf': 3, 'text_left': 1098, 'text_top': 762, 'text_width': 67, 'text_height': 27}, {'text': '2047', 'conf': 0, 'text_left': 1178, 'text_top': 762, 'text_width': 83, 'text_height': 27}, {'text': '4:38/0.', 'conf': 0, 'text_left': 1297, 'text_top': 762, 'text_width': 125, 'text_height': 27}, {'text': '0४', 'conf': 59, 'text_left': 1435, 'text_top': 762, 'text_width': 38, 'text_height': 35}, {'text': '?8', 'conf': 0, 'text_left': 1486, 'text_top': 762, 'text_width': 55, 'text_height': 27}, {'text': '06', 'conf': 13, 'text_left': 1555, 'text_top': 762, 'text_width': 84, 'text_height': 27}]",,,,,,,,,,,,,,
5,138,910,70,193,17, 7 उम्मीदवारों की पार्टीवार सूची,13,Nirmala UI,#000000,,Nirmala UI,12,"{""index"":{""0"":0,""1"":1,""2"":2,""3"":3,""4"":4},""xml_index"":{""0"":138,""1"":139,""2"":140,""3"":141,""4"":142},""text_top"":{""0"":912,""1"":910,""2"":910,""3"":910,""4"":910},""text_left"":{""0"":70,""1"":119,""2"":178,""3"":196,""4"":240},""text_width"":{""0"":8,""1"":56,""2"":15,""3"":40,""4"":23},""text_height"":{""0"":15,""1"":18,""2"":18,""3"":18,""4"":18},""text"":{""0"":""7"",""1"":""\u0909 \u0940\u0926\u0935\u093e\u0930\u094b\u0902"",""2"":""\u0915\u0940"",""3"":""\u092a\u093e\u091f \u0935\u093e\u0930"",""4"":""\u0938\u0942\u091a\u0940""},""font_size"":{""0"":13,""1"":13,""2"":13,""3"":13,""4"":13},""font_family"":{""0"":""Arial"",""1"":""Nirmala UI"",""2"":""Nirmala UI"",""3"":""Nirmala UI"",""4"":""Nirmala UI""},""font_color"":{""0"":""#000000"",""1"":""#000000"",""2"":""#000000"",""3"":""#000000"",""4"":""#000000""},""attrib"":{""0"":"""",""1"":""SUPERSCRIPT"",""2"":"""",""3"":"""",""4"":""""},""font_family_updated"":{""0"":""Arial"",""1"":""Nirmala UI"",""2"":""Nirmala UI"",""3"":""Nirmala UI"",""4"":""Nirmala UI""},""font_size_updated"":{""0"":12,""1"":12,""2"":12,""3"":12,""4"":12}}","[{'text': '7', 'conf': 97, 'text_left': 199, 'text_top': 2554, 'text_width': 17, 'text_height': 27}, {'text': 'उम्मीदवारों', 'conf': 96, 'text_left': 334, 'text_top': 2542, 'text_width': 155, 'text_height': 42}, {'text': 'की', 'conf': 93, 'text_left': 496, 'text_top': 2543, 'text_width': 43, 'text_height': 38}, {'text': 'पार्टीवार', 'conf': 90, 'text_left': 546, 'text_top': 2541, 'text_width': 114, 'text_height': 40}, {'text': 'सूची', 'conf': 96, 'text_left': 668, 'text_top': 2543, 'text_width': 65, 'text_height': 47}]",,,,,,,,,,,,,,
