,xml_index,text_top,text_left,text_width,text_height,text,font_size,font_family,font_color,attrib,font_family_updated,font_size_updated,children,word_coords
0,0,41,400,93,18, राष्ट्रपति सचिवालय,13,Nirmala UI,#000000,,Nirmala UI,12,"{""index"":{""0"":0,""1"":1},""xml_index"":{""0"":0,""1"":1},""text_top"":{""0"":41,""1"":41},""text_left"":{""0"":400,""1"":441},""text_width"":{""0"":38,""1"":52},""text_height"":{""0"":19,""1"":18},""text"":{""0"":""\u0930\u093e \ubc99\ufffd \u092a\u093f\u0924"",""1"":""\u0938\u093f\u091a\u0935\u093e\u0932\u092f""},""font_size"":{""0"":13,""1"":13},""font_family"":{""0"":""Nirmala UI"",""1"":""Nirmala UI""},""font_color"":{""0"":""#000000"",""1"":""#000000""},""attrib"":{""0"":"""",""1"":""""},""font_family_updated"":{""0"":""Nirmala UI"",""1"":""Nirmala UI""},""font_size_updated"":{""0"":12,""1"":12}}","[{'text': 'राष्ट्रपति', 'conf': 89, 'text_left': 1115, 'text_top': 129, 'text_width': 106, 'text_height': 50}, {'text': 'सचिवालय', 'conf': 96, 'text_left': 1227, 'text_top': 129, 'text_width': 147, 'text_height': 38}]"
1,2,78,78,727,44, कुवैत के राष्ट्रीय दिवस की पूर्व संध्या पर राष्ट्रपति का संदेश,33,Nirmala UI,#000000,,Nirmala UI,31,"{""index"":{""0"":0,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9,""10"":10},""xml_index"":{""0"":2,""1"":3,""2"":4,""3"":5,""4"":6,""5"":7,""6"":8,""7"":9,""8"":10,""9"":11,""10"":12},""text_top"":{""0"":78,""1"":78,""2"":78,""3"":78,""4"":78,""5"":78,""6"":78,""7"":78,""8"":78,""9"":78,""10"":78},""text_left"":{""0"":78,""1"":157,""2"":196,""3"":280,""4"":363,""5"":411,""6"":460,""7"":535,""8"":582,""9"":686,""10"":733},""text_width"":{""0"":70,""1"":29,""2"":75,""3"":74,""4"":38,""5"":40,""6"":66,""7"":37,""8"":95,""9"":38,""10"":72},""text_height"":{""0"":44,""1"":44,""2"":47,""3"":44,""4"":44,""5"":44,""6"":44,""7"":44,""8"":47,""9"":44,""10"":44},""text"":{""0"":""\u0915\u0941\u0935\u0948\u0924"",""1"":""\u0915\u0947"",""2"":""\u0930\u093e \ubc99\ufffd \u0940\u092f"",""3"":""\u093f\u0926\u0935\u0938"",""4"":""\u0915\u0940"",""5"":""\u092a\u0942\u0935"",""6"":""\u0938\u0902 \u093e"",""7"":""\u092a\u0930"",""8"":""\u0930\u093e \ubc99\ufffd \u092a\u093f\u0924"",""9"":""\u0915\u093e"",""10"":""\u0938\u0902\u0926\u0947\u0936""},""font_size"":{""0"":33,""1"":33,""2"":33,""3"":33,""4"":33,""5"":33,""6"":33,""7"":33,""8"":33,""9"":33,""10"":33},""font_family"":{""0"":""Nirmala UI"",""1"":""Nirmala UI"",""2"":""Nirmala UI"",""3"":""Nirmala UI"",""4"":""Nirmala UI"",""5"":""Nirmala UI"",""6"":""Nirmala UI"",""7"":""Nirmala UI"",""8"":""Nirmala UI"",""9"":""Nirmala UI"",""10"":""Nirmala UI""},""font_color"":{""0"":""#000000"",""1"":""#000000"",""2"":""#000000"",""3"":""#000000"",""4"":""#000000"",""5"":""#000000"",""6"":""#000000"",""7"":""#000000"",""8"":""#000000"",""9"":""#000000"",""10"":""#000000""},""attrib"":{""0"":"""",""1"":"""",""2"":"""",""3"":"""",""4"":"""",""5"":"""",""6"":"""",""7"":"""",""8"":"""",""9"":"""",""10"":""""},""font_family_updated"":{""0"":""Nirmala UI"",""1"":""Nirmala UI"",""2"":""Nirmala UI"",""3"":""Nirmala UI"",""4"":""Nirmala UI"",""5"":""Nirmala UI"",""6"":""Nirmala UI"",""7"":""Nirmala UI"",""8"":""Nirmala UI"",""9"":""Nirmala UI"",""10"":""Nirmala UI""},""font_size_updated"":{""0"":31,""1"":31,""2"":31,""3"":31,""4"":31,""5"":31,""6"":31,""7"":31,""8"":31,""9"":31,""10"":31}}","[{'text': 'कुवैत', 'conf': 96, 'text_left': 218, 'text_top': 228, 'text_width': 197, 'text_height': 125}, {'text': 'के', 'conf': 97, 'text_left': 438, 'text_top': 232, 'text_width': 85, 'text_height': 97}, {'text': 'राष्ट्रीय', 'conf': 93, 'text_left': 545, 'text_top': 234, 'text_width': 212, 'text_height': 127}, {'text': 'दिवस', 'conf': 96, 'text_left': 779, 'text_top': 234, 'text_width': 209, 'text_height': 102}, {'text': 'की', 'conf': 95, 'text_left': 1011, 'text_top': 234, 'text_width': 109, 'text_height': 95}, {'text': 'पूर्व', 'conf': 92, 'text_left': 1142, 'text_top': 229, 'text_width': 119, 'text_height': 123}, {'text': 'संध्या', 'conf': 95, 'text_left': 1280, 'text_top': 241, 'text_width': 186, 'text_height': 89}, {'text': 'पर', 'conf': 96, 'text_left': 1489, 'text_top': 260, 'text_width': 105, 'text_height': 70}, {'text': 'राष्ट्रपति', 'conf': 96, 'text_left': 1617, 'text_top': 234, 'text_width': 268, 'text_height': 127}, {'text': 'का', 'conf': 96, 'text_left': 1907, 'text_top': 261, 'text_width': 109, 'text_height': 68}, {'text': 'संदेश', 'conf': 95, 'text_left': 2039, 'text_top': 232, 'text_width': 203, 'text_height': 104}]"
2,13,155,306,280,15, ९०560 0: 24 न६8 207 8:47 by PIB Delhi,13,Arial,#000000,,Arial,12,,"[{'text': '९०560', 'conf': 46, 'text_left': 857, 'text_top': 452, 'text_width': 112, 'text_height': 28}, {'text': '0:', 'conf': 56, 'text_left': 984, 'text_top': 452, 'text_width': 55, 'text_height': 28}, {'text': '24', 'conf': 91, 'text_left': 1052, 'text_top': 452, 'text_width': 40, 'text_height': 27}, {'text': 'न६8', 'conf': 39, 'text_left': 1107, 'text_top': 452, 'text_width': 67, 'text_height': 27}, {'text': '207', 'conf': 0, 'text_left': 1186, 'text_top': 452, 'text_width': 84, 'text_height': 28}, {'text': '8:47', 'conf': 0, 'text_left': 1284, 'text_top': 452, 'text_width': 127, 'text_height': 28}, {'text': 'by', 'conf': 96, 'text_left': 1425, 'text_top': 452, 'text_width': 38, 'text_height': 35}, {'text': 'PIB', 'conf': 95, 'text_left': 1476, 'text_top': 452, 'text_width': 54, 'text_height': 27}, {'text': 'Delhi', 'conf': 96, 'text_left': 1545, 'text_top': 452, 'text_width': 84, 'text_height': 27}]"
3,186,976,37,256,15, (Release ID: 483320) Visitor Counter : 6,13,Arial,#000000,,Arial,12,,"[{'text': '(Release', 'conf': 96, 'text_left': 109, 'text_top': 2731, 'text_width': 151, 'text_height': 35}, {'text': 'ID:', 'conf': 91, 'text_left': 275, 'text_top': 2731, 'text_width': 42, 'text_height': 27}, {'text': '483320)', 'conf': 0, 'text_left': 351, 'text_top': 2731, 'text_width': 142, 'text_height': 35}, {'text': 'Visitor', 'conf': 96, 'text_left': 504, 'text_top': 2731, 'text_width': 106, 'text_height': 27}, {'text': 'Counter', 'conf': 92, 'text_left': 621, 'text_top': 2731, 'text_width': 120, 'text_height': 28}, {'text': ':', 'conf': 92, 'text_left': 769, 'text_top': 2738, 'text_width': 4, 'text_height': 20}, {'text': '6', 'conf': 97, 'text_left': 785, 'text_top': 2731, 'text_width': 18, 'text_height': 27}]"
