,Lost,Confusee,Spurious,contribution_to_overall_error,char_occurance,total_detected_chars,contribution_to_detection_error
ष,3.8404717251238583,3.004676309299701,1.6043944743751006,0.05714244693146496,3316.0,696505.0,0.04680511984838587
स,2.922663597049391,2.744933838092903,1.5774934000872127,0.21363809305030118,20499.0,696505.0,0.16367434548208556
ह,3.3866099695329486,3.2585915415348365,1.6559830905723845,0.12763727467857375,16116.0,696505.0,0.09605099748027653
़,16.96116246721307,3.7478223375248407,9.291044198970647,0.03565777772644854,1142.0,692696.0,0.03291487174749096
ा,3.5638546285767125,2.4485429562432635,1.75032984946979,0.5152870402940395,46203.0,696505.0,0.3949720389659801
ि,3.4545812717761986,2.2438414537443494,1.6697671970633412,0.2552745493571475,24318.0,696505.0,0.19928069432380244
ी,4.278056549493755,2.975417777211929,1.9236495504495292,0.2509673297391979,20647.0,696505.0,0.1982756764129475
ु,5.170252758481143,2.906588336274178,2.017786814725554,0.0928923697604468,7083.0,696505.0,0.07336630749240852
ू,5.049057900910632,3.1452787683059107,2.1290336569051087,0.04022214113949326,3425.0,696134.0,0.031459460391246516
ृ,6.652585326335977,3.4716032717530836,3.837496033073526,0.01699780917126237,1195.0,688324.0,0.01162243362137598
े,3.6145580898481238,2.1193383947534827,1.4279343219426353,0.2773849433959555,27753.0,696505.0,0.22124751437534546
ै,3.4642668013761937,6.697734077592293,1.6892385315559384,0.06205701775807532,5388.0,696134.0,0.05157053096099314
ॉ,4.312544203784527,19.481619808970127,1.8857183370553618,0.01387712054646468,385.0,612519.0,0.012734298854402885
ो,3.55910198589005,3.875249553837861,1.7108689239467048,0.12648868278045386,11447.0,696505.0,0.10035821709822614
ौ,4.328391437148086,4.92206082175338,2.171894081829608,0.011065570786893122,1281.0,686815.0,0.00917277578387193
्,4.687059223421598,2.1430531778354722,2.6451492749518564,0.4736505839871932,30717.0,696505.0,0.3567813583534935
।,7.258006997293194,11.093196929011242,2.8997221110532734,0.1312266243601984,4831.0,696505.0,0.11485918981198985
३,0.21359125484862224,0.0,188.05966089662704,0.006908612016667027,126.0,231595.0,0.0004317882510416892
‌,0.0,0.0,1001.2619497636838,0.04331896207766862,0.0,438607.0,0.0
‍,0.0,0.0,936.2164312471559,0.01732872439492615,0.0,663638.0,0.0
%,48.878326223847246,29.676213690838914,0.0,0.008531383302864107,17.0,164100.0,0.008531383302864107
E,0.8674759852790103,21.351452648591028,45.38242561384158,0.006411048984993566,42.0,436746.0,0.004579320703566833
L,42.339664626877536,23.22243162543568,24.701808562573085,0.003405955881518148,18.0,440405.0,0.002270637254345432
